wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:11289830n	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	Russian composer of orchestral and piano music (1872-1915)	0.516	12	8	NO
wn:11242321n	bn:00002716n	n	Pons, Lily_Pons, Alice-Josephine_Pons	United States coloratura soprano (born in France) (1904-1976)	0.488	14	10	NO
wn:06865049n	bn:00002805n	n	alla_breve	a musical time signature indicating two or four half notes to a measure	0.778	8	8	YES
wn:15264891n	bn:00002825n	n	allegretto	a quicker tempo than andante but not as fast as allegro	1.0	8	6	YES
wn:07039949n	bn:00002826n	n	allegretto	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro	0.767	2	6	YES
wn:15265021n	bn:00002827n	n	allegro	a brisk and lively tempo	1.0	8	6	YES
wn:07039770n	bn:00002828n	n	allegro	a musical composition or musical passage to be performed quickly in a brisk lively manner	0.762	2	6	YES
wn:07239183n	bn:00002915n	n	allocution	(rhetoric) a formal or authoritative address that advises or exhorts	0.0	9	7	NO
wn:09786115n	bn:00003145n	n	alto	a singer whose voice lies in the alto clef	1.0	12	8	YES
wn:06872905n	bn:00003146n	n	contralto, alto	the lowest female singing voice	1.0	5	5	YES
wn:06872785n	bn:00003147n	n	countertenor, alto	the highest adult male singing voice	0.5	5	5	YES
wn:06863086n	bn:00003150n	n	alto_clef, viola_clef	a clef that puts middle C on the third line of a staff	0.713	8	8	YES
wn:09786226n	bn:00003152n	n	alto_saxophonist, altoist	a musician who plays the alto saxophone	0.882	12	8	YES
wn:11180209n	bn:00003155n	n	Miller, Glenn_Miller, Alton_Glenn_Miller	United States bandleader of a popular big band (1909-1944)	0.499	13	9	NO
wn:02700895n	bn:00003237n	n	Amati	a violin made by Nicolo Amati or a member of his family	0.5	15	11	YES
