wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:01133760n	bn:00021674n	n	conducting	the direction of an orchestra or choir	0.786	9	7	YES
wn:09952539n	bn:00021678n	n	conductor, music_director, director	the person who leads a musical group	0.791	11	7	YES
wn:05126228n	bn:00021756n	n	confines	a bounded scope	0.5	9	7	NO
wn:07055295n	bn:00021796n	n	conga	music composed for dancing the conga	0.752	2	6	YES
wn:08432149n	bn:00021798n	n	conga_line	a line of people in single file performing the conga dance	0.596	8	6	YES
wn:07492655n	bn:00022000n	n	consolation, solace, solacement	the comfort you feel when consoled in times of disappointment	0.01	9	7	NO
wn:11115131n	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	English composer and conductor (1905-1951)	0.487	12	8	NO
wn:03096439n	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	the bassoon that is the largest instrument in the oboe family	0.765	17	13	YES
wn:09961198n	bn:00022251n	n	contralto	a woman singer having a contralto voice	0.791	12	8	YES
wn:09612580n	bn:00022252n	n	contrapuntist	a composer who specializes in counterpoint	1.0	12	8	YES
wn:05126362n	bn:00022265n	n	contrast	the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)	0.167	9	7	NO
wn:13977732n	bn:00022403n	n	convulsion, turmoil, upheaval	a violent disturbance	1.0	8	6	NO
wn:07063413n	bn:00022428n	n	cool_jazz	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0.784	4	7	YES
wn:03288742n	bn:00022546n	n	English_horn, cor_anglais	a double-reed woodwind instrument similar to an oboe but lower in pitch	0.806	16	12	YES
wn:10732010n	bn:00022752n	n	trumpeter, cornetist	a musician who plays the trumpet or cornet	0.507	11	7	YES
wn:07294260n	bn:00022784n	n	corollary	a practical consequence that follows naturally	0.5	10	8	NO
wn:07025419n	bn:00023212n	n	counterpoint	a musical form involving the simultaneous sound of two or more melodies	0.729	2	6	YES
wn:09970295n	bn:00023225n	n	countertenor	a male singer with a voice above that of a tenor	0.725	13	9	YES
wn:10913010n	bn:00023267n	n	Couperin, Francois_Couperin	French composer of music for organ and a member of a family of distinguished organists (1668-1733)	0.46	12	8	NO
wn:00526663n	bn:00023277n	n	courante	a court dance of the 16th century; consisted of short advances and retreats	0.663	10	8	YES
wn:03121698n	bn:00023352n	n	cover, cover_version, cover_song	a recording of a song that was first recorded or made popular by somebody else	0.871	13	9	YES
wn:07381423n	bn:00023462n	n	crack, cracking, snap	a sudden sharp noise	1.0	9	7	NO
wn:00546738n	bn:00023495n	n	lullaby, cradlesong	the act of singing a quiet song to lull a child to sleep	0.5	11	9	YES
wn:07381864n	bn:00023631n	n	creak, creaking	a squeaking sound	1.0	9	7	YES
wn:04990525n	bn:00023748n	n	crescendo	(music) a gradual increase in loudness	0.734	8	6	YES
wn:00547101n	bn:00023929n	n	crooning	singing in a soft low tone	1.0	11	9	YES
wn:00546972n	bn:00023930n	n	crooning	the act of singing popular songs in a sentimental manner	0.767	11	9	YES
wn:07032753n	bn:00024014n	n	crossover	the appropriation of a new style (especially in popular music) by combining elements of different genres in order to appeal to a wider audience	0.862	10	8	YES
wn:06871127n	bn:00024041n	n	quarter_note, crotchet	a musical note having the time value of a quarter of a whole note	0.582	8	8	YES
wn:03139887n	bn:00024095n	n	crown_saw	a saw having teeth around the edge of a hollow cylinder	0.5	14	10	NO
wn:07382414n	bn:00024135n	n	crunch	the sound of something crunching	1.0	9	7	NO
wn:10917554n	bn:00024405n	n	Cunningham, Merce_Cunningham	United States dancer and choreographer (born in 1922)	0.22	10	6	NO
wn:07019396n	bn:00024538n	n	curtain_raiser	a short play presented before the main play	0.167	9	7	NO
wn:03152062n	bn:00024575n	n	cuspidation	a decoration using cusps	0.333	11	7	NO
wn:06612865n	bn:00024606n	n	cut, track	a distinct selection of music from a recording or a compact disc	0.231	4	8	YES
wn:09986450n	bn:00024793n	n	cymbalist	a performer on the cymbals	1.0	12	8	YES
wn:10920366n	bn:00024934n	n	Czerny, Karl_Czerny	Austrian virtuoso pianist and composer of many works for the piano; studied with Beethoven and was a teacher of Liszt (1791-1857)	0.634	12	8	NO
wn:10942473n	bn:00024937n	n	D'Oyly_Carte, Richard_D'Oyly_Carte	English impresario who brought Gilbert and Sullivan together and produced many of their operettas in London (1844-1901)	0.462	14	10	NO
wn:11325867n	bn:00025103n	n	Sutherland, Joan_Sutherland, Dame_Joan_Sutherland	Australian operatic soprano (born in 1926)	0.67	13	9	NO
wn:11334773n	bn:00025104n	n	Te_Kanawa, Dame_Kiri_Te_Kanawa, Dame_Kiri_Janette_Te_Kanawa	New Zealand operatic soprano (born in 1944)	0.585	13	9	NO
wn:11048109n	bn:00025107n	n	Hess, Dame_Myra_Hess	English pianist (1890-1965)	1.0	12	8	NO
wn:11172045n	bn:00025108n	n	Melba, Dame_Nellie_Melba, Helen_Porter_Mitchell	Australian operatic soprano (1861-1931)	0.477	14	10	NO
wn:07054433n	bn:00025149n	n	dance_music	music to dance to	0.899	1	5	YES
wn:00542149n	bn:00025150n	n	danse_macabre, dance_of_death	a medieval dance in which a skeleton representing death leads a procession of others to the grave	0.235	11	9	YES
wn:11179124n	bn:00025231n	n	Milhaud, Darius_Milhaud	French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)	0.409	12	8	NO
wn:03195959n	bn:00025313n	n	digital_audiotape, DAT	a digital tape recording of sound	1.0	15	11	YES
wn:10924828n	bn:00025400n	n	Davis, Miles_Davis, Miles_Dewey_Davis_Jr.	United States jazz musician; noted for his trumpet style (1926-1991)	0.649	12	8	NO
wn:07059028n	bn:00025518n	n	funeral_march, dead_march	a slow march to be played for funeral processions	0.744	4	7	YES
wn:04991225n	bn:00025785n	n	decrescendo, diminuendo	(music) a gradual decrease in loudness	0.737	8	6	YES
wn:11333601n	bn:00025809n	n	Taylor, Deems_Taylor, Joseph_Deems_Taylor	United States composer and music critic (1885-1966)	0.392	12	8	NO
wn:10929316n	bn:00026059n	n	Delius, Frederick_Delius	English composer of orchestral works (1862-1934)	0.47	12	8	NO
wn:03177059n	bn:00026347n	n	departure_lounge	lounge where passengers can await departure	0.5	13	9	NO
wn:07032026n	bn:00026485n	n	descant, discant	a decorative musical accompaniment (often improvised) added above a basic melody	0.75	4	8	YES
wn:07068631n	bn:00026702n	n	development	(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	0.843	2	6	YES
wn:13416241n	bn:00026742n	n	devise	a will disposing of real property	0.5	8	8	NO
wn:10010864n	bn:00026756n	n	devourer	someone who eats greedily or voraciously	0.5	11	7	NO
wn:10933449n	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0.35	14	10	NO
wn:15250468n	bn:00026852n	n	diamond_jubilee	an anniversary celebrating the passage of 60 years	0.5	11	9	NO
wn:06860323n	bn:00026903n	n	diatonic_scale	a scale with eight notes in an octave; all but two are separated by whole tones	0.645	8	8	YES
wn:07036546n	bn:00027001n	n	Dies_Irae	the first words of a medieval Latin hymn describing the Last Judgment (literally `day of wrath')	0.522	5	8	YES
wn:07030549n	bn:00027160n	n	diminution	the statement of a theme in notes of lesser duration (usually half the length of the original)	0.852	4	8	YES
wn:10013242n	bn:00027185n	n	diner	a person eating a meal (especially in a restaurant)	0.5	11	7	NO
wn:07383616n	bn:00027189n	n	ding-dong	the noise made by a bell	1.0	9	7	YES
wn:14498567n	bn:00027191n	n	dinginess, dinge	discoloration due to dirtiness	0.5	9	7	NO
wn:10687826n	bn:00027200n	n	tablemate, dining_companion	someone you dine with	0.5	12	8	NO
wn:14498096n	bn:00027387n	n	dirt, filth, grime, soil, stain, grease, grunge	the state of being covered with unclean things	0.729	9	7	NO
wn:14497763n	bn:00027392n	n	dirtiness, uncleanness	the state of being unsanitary	0.05	8	6	NO
wn:03924069n	bn:00027454n	n	phonograph_record, phonograph_recording, record, disk, disc, platter	sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove	0.424	14	10	YES
wn:10017272n	bn:00027461n	n	disk_jockey, disc_jockey, dj	a person who announces and plays popular recorded music	0.572	10	6	YES
wn:07059626n	bn:00027490n	n	disco, disco_music	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques	0.739	3	6	YES
wn:05720248n	bn:00027739n	n	noise, dissonance, racket	the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience	1.0	11	9	YES
wn:10018653n	bn:00027763n	n	distiller	someone who distills alcoholic liquors	0.25	11	7	NO
wn:11511765n	bn:00027778n	n	distortion	a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal)	0.495	11	7	YES
wn:07239428n	bn:00027834n	n	dithyramb	a wildly enthusiastic speech or piece of writing	0.0	5	5	NO
wn:07050503n	bn:00027837n	n	ditty	a short simple song (or the words of a poem intended to be sung)	0.667	3	7	YES
wn:10471732n	bn:00027843n	n	prima_donna, diva	a distinguished female operatic singer; a female operatic star	0.605	13	9	YES
wn:07042586n	bn:00027873n	n	divertimento, serenade	a musical composition in several movements; has no fixed form	0.713	2	6	YES
wn:11000012n	bn:00027952n	n	Gillespie, Dizzy_Gillespie, John_Birks_Gillespie	United States jazz trumpeter and exponent of bebop (1917-1993)	0.674	12	8	NO
wn:11299030n	bn:00027958n	n	Shostakovich, Dmitri_Shostakovich, Dmitri_Dmitrievich_Shostakovich	Russian composer best known for his fifteen symphonies (1906-1975)	0.449	12	8	NO
wn:10938199n	bn:00028180n	n	Domingo, Placido_Domingo	Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)	0.508	13	9	NO
wn:10939360n	bn:00028226n	n	Donizetti, Gaetano_Donizetti	Italian composer of operas (1797-1848)	0.483	12	8	NO
wn:07061677n	bn:00028239n	n	doo-wop	a genre (usually a cappella) of Black vocal-harmony music of the 1950s that evolved in New York City from gospel singing; characterized by close four-part harmonies; the name derived from some of the nonsense syllables sung by the backup	0.751	5	8	YES
wn:10221040n	bn:00028286n	n	jerk, dork	a dull stupid fatuous person	0.5	10	6	NO
wn:06864900n	bn:00028361n	n	double_bar	notation marking the end of principal parts of a musical composition; two adjacent bar lines	0.746	7	7	YES
wn:11190024n	bn:00028442n	n	Moore, Douglas_Moore	United States composer of works noted for their use of the American vernacular (1893-1969)	0.303	12	8	NO
wn:10941992n	bn:00028468n	n	Dowland, John_Dowland	English lutenist and composer of songs for the lute (1563-1626)	0.477	12	8	NO
wn:07086972n	bn:00028479n	n	downbeat	the first beat of a musical measure (as the conductor's arm moves downward)	1.0	8	6	YES
wn:07007684n	bn:00028610n	n	dramatic_composition, dramatic_work	a play for performance on the stage or television or in a movie etc.	0.06	5	5	NO
wn:00897365n	bn:00028686n	n	dress_rehearsal	a full uninterrupted rehearsal in costumes shortly before the first performance	0.283	11	9	NO
wn:07050827n	bn:00028757n	n	drinking_song	a song celebrating the joys of drinking; sung at drinking parties	0.595	3	7	YES
wn:10036574n	bn:00028896n	n	drum_major	the leader of a marching band or drum corps	0.318	12	8	YES
wn:10036692n	bn:00028898n	n	drum_majorette, majorette	a female drum major	0.163	12	8	YES
wn:07388816n	bn:00028900n	n	paradiddle, roll, drum_roll	the sound of a drum (especially a snare drum) beaten rapidly and continuously	0.647	8	6	YES
wn:07392373n	bn:00028902n	n	rub-a-dub, rataplan, drumbeat	the sound made by beating a drum	0.868	8	6	YES
wn:10036929n	bn:00028909n	n	drummer	someone who plays a drum	0.503	12	8	YES
wn:00897026n	bn:00028948n	n	rehearsal, dry_run	a practice session in preparation for a public performance (as of a play or speech or concert)	0.306	10	8	YES
wn:05720521n	bn:00028992n	n	dub	the new sounds added by dubbing	0.835	11	9	YES
wn:08247021n	bn:00029058n	n	duet, duette, duo	two performers or singers who perform together	0.667	8	6	YES
wn:07041451n	bn:00029059n	n	duet, duette, duo	a musical composition for two performers	0.827	2	6	YES
wn:10944593n	bn:00029073n	n	Dukas, Paul_Dukas	French composer (1865-1935)	0.49	12	8	NO
wn:10958010n	bn:00029076n	n	Ellington, Duke_Ellington, Edward_Kennedy_Ellington	United States jazz composer and piano player and bandleader (1899-1974)	0.55	12	8	NO
wn:10040049n	bn:00029133n	n	dunker	an eater who dips food into a liquid before eating it	0.333	11	7	NO
wn:14498733n	bn:00029208n	n	dustiness	the state of being covered with dust	0.333	9	7	NO
wn:04635482n	bn:00029299n	n	dynamism, pizzazz, pizzaz, oomph, zing	the activeness of an energetic personality	0.333	7	5	NO
wn:13977870n	bn:00029449n	n	earthquake	a disturbance that is extremely disruptive	1.0	8	6	NO
wn:10042300n	bn:00029543n	n	eater, feeder	someone who consumes food for nourishment	0.79	10	6	NO
wn:11360534n	bn:00029743n	n	Varese, Edgar_Varese	United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965)	0.5	12	8	NO
wn:11234152n	bn:00029767n	n	Piaf, Edith_Piaf, Edith_Giovanna_Gassion, Little_Sparrow	French cabaret singer (1915-1963)	0.239	12	8	NO
wn:11016199n	bn:00029817n	n	Grieg, Edvard_Grieg, Edvard_Hagerup_Grieg	Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)	0.44	12	8	NO
wn:11147185n	bn:00029840n	n	MacDowell, Edward_MacDowell	United States composer best remembered as a composer of works for the piano (1860-1908)	0.548	12	8	NO
wn:09735790n	bn:00029883n	n	effendi	a former Turkish term of respect; especially for government officials	0.022	12	8	NO
wn:11407048n	bn:00029906n	n	Zimbalist, Efrem_Zimbalist	United States violinist (born in Russia) (1889-1985)	0.47	12	8	NO
wn:00540396n	bn:00029994n	n	eightsome	a Scottish reel for eight dancers	1.0	15	13	YES
wn:10967152n	bn:00029995n	n	Farrell, Eileen_Farrell	United States operatic soprano noted for the clarity and power of her voice (1920-2002)	0.692	13	9	NO
wn:03272010n	bn:00030148n	n	electric_guitar	a guitar whose sound is amplified by electrical means	0.641	14	10	YES
wn:03273551n	bn:00030157n	n	electric_organ, electronic_organ, Hammond_organ, organ	(music) an electronic simulation of a pipe organ	0.529	13	9	YES
wn:03279153n	bn:00030254n	n	electronic_instrument, electronic_musical_instrument	a musical instrument that generates sounds electronically	0.507	12	8	YES
wn:10956134n	bn:00030344n	n	Elgar, Sir_Edward_Elgar, Sir_Edward_William_Elgar	British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)	0.463	12	8	NO
wn:10971981n	bn:00030400n	n	Fitzgerald, Ella_Fitzgerald	United States scat singer (1917-1996)	1.0	12	8	NO
wn:11246040n	bn:00030444n	n	Presley, Elvis_Presley, Elvis_Aron_Presley	United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)	0.377	13	9	NO
wn:03282401n	bn:00030473n	n	embellishment	a superfluous ornament	0.714	10	6	NO
wn:10299250n	bn:00030515n	n	master_of_ceremonies, emcee, host	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0.252	9	5	NO
wn:00099439n	bn:00030701n	n	encore	an extra or repeated performance; usually given in response to audience demand	0.667	13	11	YES
wn:10959074n	bn:00030832n	n	Enesco, Georges_Enesco, George_Enescu	Romanian violinist and composer (1881-1955)	0.495	12	8	NO
wn:11066621n	bn:00030846n	n	Humperdinck, Engelbert_Humperdinck	German composer of six operas and other incidental music (1854-1921)	0.497	12	8	NO
wn:00949619n	bn:00030858n	n	technology, engineering	the practical application of science to commerce or industry	0.572	10	8	NO
wn:07043026n	bn:00030910n	n	enigma_canon, enigmatic_canon, enigmatical_canon, riddle_canon	a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries)	0.699	3	7	YES
wn:08188235n	bn:00030961n	n	ensemble	a group of musicians playing or singing together	0.875	8	6	YES
wn:06396330n	bn:00031225n	n	episode	a brief section of a literary or dramatic work that forms part of a connected series	0.8	2	6	YES
wn:10074339n	bn:00031355n	n	exterminator, terminator, eradicator	someone who exterminates (especially someone whose occupation is the extermination of troublesome rodents and insects)	0.019	9	5	NO
wn:11282434n	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0.418	12	8	NO
wn:11287437n	bn:00031457n	n	Schumann-Heink, Ernestine_Schumann-Heink	United States operatic contralto (1861-1936)	0.361	13	9	NO
wn:10063461n	bn:00031573n	n	escort	an attendant who is employed to accompany someone	0.2	11	7	NO
wn:11176527n	bn:00031696n	n	Merman, Ethel_Merman	United States singer who appeared in several musical comedies (1909-1984)	0.202	12	8	NO
wn:07060167n	bn:00031725n	n	folk_music, ethnic_music, folk	the traditional and typically anonymous music that is an expression of the life of people in a community	0.61	3	6	YES
wn:07043518n	bn:00031755n	n	etude	a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity	0.885	2	6	YES
wn:11216797n	bn:00031813n	n	Ormandy, Eugene_Ormandy	United States conductor (born in Hungary) (1899-1985)	0.711	12	8	NO
wn:03301568n	bn:00031852n	n	euphonium	a bass horn (brass wind instrument) that is the tenor of the tuba family	0.631	14	10	YES
wn:05718556n	bn:00031853n	n	music, euphony	any agreeable (pleasing and harmonious) sounds	0.8	11	9	YES
wn:00429713n	bn:00031886n	n	eurythmy, eurhythmy, eurythmics, eurhythmics	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding	0.5	9	7	YES
wn:10067305n	bn:00031982n	n	Evangelist	(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John	0.587	10	6	NO
wn:05851744n	bn:00032115n	n	excellence, excellency	an outstanding feature; something in which something or someone excels	0.619	11	9	NO
wn:10069427n	bn:00032178n	n	executioner, public_executioner	an official who inflicts capital punishment in pursuit of a warrant	0.01	9	5	NO
wn:10070711n	bn:00032233n	n	exhibitionist, show-off	someone who deliberately behaves in such a way as to attract attention	0.429	11	7	NO
wn:05127959n	bn:00032277n	n	sweep, expanse	a wide scope	1.0	9	7	NO
wn:07383696n	bn:00032345n	n	explosion	the noise caused by an explosion	0.5	9	7	YES
wn:07215568n	bn:00032368n	n	expose, unmasking	the exposure of an impostor or a fraud	0.722	10	8	NO
wn:06741993n	bn:00032371n	n	exposition	(music) the section of a movement (especially in sonata form) where the major musical themes first occur	0.971	2	6	YES
wn:07215377n	bn:00032377n	n	exposure	the disclosure of something secret	1.0	9	7	NO
wn:00099588n	bn:00032406n	n	extemporization, extemporisation, improvisation	a performance given extempore without planning or preparation	0.349	13	11	YES
wn:07051441n	bn:00032692n	n	fado	a sad Portuguese folksong	0.434	4	8	YES
wn:03318707n	bn:00032779n	n	fake_book	a fake in the form of an imitation book; used to fill bookcases of people who wish to appear scholarly	0.673	14	10	NO
wn:10965836n	bn:00032815n	n	Falla, Manuel_de_Falla	Spanish composer and pianist (1876-1946)	0.256	12	8	NO
wn:05127357n	bn:00032878n	n	falsetto	a male singing voice with artificially high tones in an upper register	0.766	10	8	YES
wn:06856884n	bn:00033628n	n	flourish, fanfare, tucket	(music) a short lively tune played on brass instruments	0.533	2	6	YES
wn:07044543n	bn:00033644n	n	fantasia	a musical composition of a free form usually incorporating several familiar themes	0.896	2	6	YES
wn:11372242n	bn:00033805n	n	Waller, Fats_Waller, Thomas_Wright_Waller	United States jazz musician (1904-1943)	1.0	12	8	NO
wn:14488118n	bn:00033894n	n	feculence	something that is feculent	1.0	9	7	NO
wn:11173917n	bn:00033993n	n	Mendelssohn, Felix_Mendelssohn, Jakob_Ludwig_Felix_Mendelssohn-Bartholdy	German musician and romantic composer of orchestral and choral works (1809-1847)	0.42	12	8	NO
wn:10673669n	bn:00034007n	n	suicide, felo-de-se	a person who kills himself intentionally	0.059	9	5	NO
wn:11193058n	bn:00034094n	n	Morton, Jelly_Roll_Morton, Ferdinand_Joseph_La_Menthe_Morton	United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)	0.531	12	8	NO
wn:06867510n	bn:00034102n	n	fermata	a musical notation (over a note or chord or rest) that indicates it is to be prolonged by an unspecified amount	0.755	7	7	YES
wn:04536866n	bn:00034250n	n	violin, fiddle	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow	0.469	14	10	YES
wn:10754578n	bn:00034253n	n	violinist, fiddler	a musician who plays the violin	0.469	11	7	YES
wn:03334492n	bn:00034347n	n	fife	a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band	0.316	15	11	YES
wn:00263272n	bn:00034388n	n	figuration	decorating with a design	0.701	11	9	NO
wn:03343354n	bn:00034618n	n	fipple_flute, fipple_pipe, recorder, vertical_flute	a tubular wind instrument with 8 finger holes and a fipple mouthpiece	0.499	14	10	YES
wn:03350011n	bn:00034741n	n	first_gear, first, low_gear, low	the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving	0.731	13	9	NO
wn:07384898n	bn:00034953n	n	hiss, hissing, hushing, fizzle, sibilation	a fricative sound (especially as an expression of disapproval)	0.5	9	7	YES
wn:07055401n	bn:00035010n	n	flamenco	guitar music composed for dancing the flamenco	0.304	2	6	YES
wn:06866919n	bn:00035081n	n	flat	a musical notation indicating one half step lower than the note named	0.541	7	7	YES
wn:10098245n	bn:00035127n	n	flutist, flautist, flute_player	someone who plays the flute	0.522	11	7	YES
wn:06890577n	bn:00035367n	n	flourish	an ornamental embellishment in writing	1.0	11	7	NO
wn:03369276n	bn:00035420n	n	flugelhorn, fluegelhorn	a brass instrument resembling a cornet but with a wider bore	0.624	14	10	YES
wn:03376938n	bn:00035594n	n	folding_saw	a saw with a toothed blade that folds into a handle (the way a pocketknife folds)	1.0	14	10	NO
wn:06258541n	bn:00035595n	n	foldout, gatefold	an oversize page that is folded in to a book or magazine	0.929	12	9	NO
wn:07050952n	bn:00035609n	n	folk_song, folksong, folk_ballad	a song that is traditionally sung by the common people of a region and forms part of their culture	0.608	3	7	YES
wn:10100620n	bn:00035662n	n	food_manufacturer	a person who manufactures food products	0.333	11	7	NO
wn:10102969n	bn:00035810n	n	forefather	person from an earlier time who contributed to the tradition shared by some group	0.526	10	6	NO
wn:04990781n	bn:00035984n	n	forte, fortissimo	(music) loud	0.737	8	6	YES
wn:03928116n	bn:00035986n	n	piano, pianoforte, forte-piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	0.463	13	9	YES
wn:10975796n	bn:00036034n	n	Foster, Stephen_Foster, Stephen_Collins_Foster	United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)	0.378	13	9	NO
wn:11302062n	bn:00036209n	n	Sinatra, Frank_Sinatra, Francis_Albert_Sinatra	United States singer and film actor (1915-1998)	0.348	11	7	NO
wn:11244419n	bn:00036218n	n	Poulenc, Francis_Poulenc	French pianist and composer (1899-1963)	0.584	12	8	NO
wn:11035780n	bn:00036272n	n	Haydn, Joseph_Haydn, Franz_Joseph_Haydn	prolific Austrian composer who influenced the classical form of the symphony (1732-1809)	0.484	12	8	NO
wn:11125080n	bn:00036275n	n	Lehar, Franz_Lehar	Hungarian composer of light operas (1870-1948)	0.326	12	8	NO
wn:11135236n	bn:00036276n	n	Liszt, Franz_Liszt	Hungarian composer and piano virtuoso (1811-1886)	0.446	12	8	NO
wn:11286618n	bn:00036277n	n	Schubert, Franz_Schubert, Franz_Peter_Schubert, Franz_Seraph_Peter_Schubert	Austrian composer known for his compositions for voice and piano (1797-1828)	0.414	12	8	NO
wn:10111023n	bn:00036399n	n	freeman, freewoman	a person who is not a serf or a slave	0.262	10	6	NO
wn:11110791n	bn:00036604n	n	Kreisler, Fritz_Kreisler	United States violinist (born in Austria) (1875-1962)	0.478	12	8	NO
wn:11023883n	bn:00036624n	n	Halevy, Fromental_Halevy, Jacques_Francois_Fromental_Elie_Halevy	French operatic composer (1799-1862)	0.376	12	8	NO
wn:07294550n	bn:00036688n	n	fruit	the consequence of some effort or action	0.333	10	8	NO
wn:07043675n	bn:00036754n	n	fugue	a musical form consisting of a theme repeated a fifth above or a fourth below its first statement	0.784	3	6	YES
wn:07063585n	bn:00036872n	n	funk	an earthy type of jazz combining it with blues and soul; has a heavy bass line that accentuates the first beat in the bar	0.839	4	7	YES
wn:06862805n	bn:00036968n	n	treble_clef, treble_staff, G_clef	a clef that puts the G above middle C on the second line of a staff	0.713	8	8	YES
wn:10118743n	bn:00037161n	n	gambist	a musician who performs upon the viola da gamba	0.488	11	7	YES
wn:08248521n	bn:00037205n	n	gamelan	a traditional Indonesian ensemble typically including many tuned percussion instruments including bamboo xylophones and wooden or bronze chimes and gongs	0.529	9	7	YES
wn:05128096n	bn:00037233n	n	gamut	"a complete extent or range: ""a face that expressed a gamut of emotions"""	1.0	9	7	NO
wn:06857487n	bn:00037234n	n	gamut	the entire scale of musical notes	0.867	8	8	YES
wn:10119953n	bn:00037255n	n	gangsta	(Black English) a member of a youth gang	0.636	9	5	NO
wn:06861315n	bn:00037282n	n	gapped_scale	a musical scale with fewer than seven notes	0.764	8	8	YES
wn:13978709n	bn:00037296n	n	tumult, tumultuousness, uproar, garboil	a state of commotion and noise and confusion	0.75	8	6	YES
wn:07055502n	bn:00037537n	n	gavotte	music composed in quadruple time for dancing the gavotte	0.679	2	6	YES
wn:10221656n	bn:00037607n	n	jewel, gem	a person who is as brilliant and precious as a piece of jewelry	0.524	8	4	NO
wn:07071942n	bn:00037743n	n	music_genre, musical_genre, genre, musical_style	an expressive style of music	0.825	1	4	YES
wn:11027631n	bn:00040194n	n	Handel, George_Frideric_Handel, George_Frederick_Handel, Georg_Friedrich_Handel	a prolific British baroque composer (born in Germany) remembered best for his oratorio Messiah (1685-1759)	0.407	12	8	NO
wn:11334925n	bn:00040196n	n	Telemann, Georg_Philipp_Telemann	German baroque composer (1681-1767)	0.462	12	8	NO
wn:10996876n	bn:00040214n	n	Gershwin, George_Gershwin	United States composer who incorporated jazz into classical forms and composed scores for musical comedies (1898-1937)	0.457	12	8	NO
wn:11031842n	bn:00040218n	n	Harrison, George_Harrison	English rock star; lead guitarist of the Beatles (1943-2001)	0.594	13	9	NO
wn:11010697n	bn:00040231n	n	Grainger, Percy_Grainger, Percy_Aldridge_Grainger, George_Percy_Aldridge_Grainger	United States composer (born in Australia) who lived in London and collected English folk songs (1882-1961)	0.505	12	8	NO
wn:11327964n	bn:00040236n	n	Szell, George_Szell	United States conductor (born in Hungary) (1897-1970)	0.749	12	8	NO
wn:10997068n	bn:00040319n	n	Gershwin, Ira_Gershwin	United States lyricist who frequently collaborated with his brother George Gershwin (1896-1983)	0.509	11	7	NO
wn:11120530n	bn:00040320n	n	Lawrence, Gertrude_Lawrence	English actress (1898-1952)	0.115	12	8	NO
wn:05931341n	bn:00040328n	n	gestalt	a configuration or pattern of elements so unified as a whole that it cannot be described merely as a sum of its parts	0.25	8	6	YES
wn:11177695n	bn:00040379n	n	Meyerbeer, Giacomo_Meyerbeer, Jakob_Liebmann_Beer	German composer of operas in a style that influenced Richard Wagner (1791-1864)	0.557	12	8	NO
wn:11248077n	bn:00040380n	n	Puccini, Giacomo_Puccini	Italian operatic composer noted for the dramatic realism of his operas (1858-1924)	0.337	12	8	NO
wn:11144860n	bn:00040381n	n	Lully, Jean_Baptiste_Lully, Lulli, Giambattista_Lulli	French composer (born in Italy) who was the court composer to Louis XIV and founded the national French opera (1632-1687)	0.443	12	8	NO
wn:11174901n	bn:00040383n	n	Menotti, Gian_Carlo_Menotti	United States composer (born in Italy) of operas (born in 1911)	0.417	12	8	NO
wn:02456008n	bn:00040391n	n	giant_armadillo, tatou, tatu, Priodontes_giganteus	about three feet long exclusive of tail	0.38	17	13	NO
